Family,Binomial,A (mm^2),N (mm^-2),F (mm^2/mm^2),logA (mm^2),logN (mm^-2),logF (mm^2/mm^2),D (g/cm^3),AbsLat (Degrees),,DATASET VALUES,,,,,,,,
Rhamnaceae,Krugiodendron ferreum,0.002922467,45,0.131510995,-2.534250449,1.653212514,-0.881037935,1.35,,,Family,Plant family,,,,,,,
Fabaceae,Tamarindus indica,0.010386891,9,0.093482016,-1.983514438,0.954242509,-1.029271928,1.28,10.13333333,,Binomial,Plant genus and species,,,,,,,
Anacardiaceae,Astronium urundeuva,0.009503318,15,0.142549767,-2.022124748,1.176091259,-0.846033489,1.21,14,,A (mm^2),Average cross sectional vessel area,,,,,,,-0.116211638
Fabaceae,Dalbergia melanoxylon,0.013273229,7,0.092912603,-1.877023414,0.84509804,-1.031925374,1.2,4.633333334,,N (mm^-2),Number of vessels per unit cross sectional area,,,,,,,
Fabaceae,Swartzia corrugata,0.018385386,4,0.073541542,-1.735527257,0.602059991,-1.133467266,1.2,10,,F (mm^2/mm^2),(F = A*N) Fraction of cross sectional area that is in vessels,,,,,,,
Fabaceae,Caesalpinia paraguariensis,0.003848451,25,0.096211275,-2.414714039,1.397940009,-1.01677403,1.18,,,logA (mm^2),log10 transformation of A,,,,,,,
Fabaceae,Dinizia excelsa,0.0254469,5,0.127234502,-1.594365108,0.698970004,-0.895395104,1.15,5.2,,logN (mm^-2),log10 transformation of N,,,,,,,
Boraginaceae,Patagonula americana,0.004133158,43,0.165483393,-2.38371801,1.633468456,-0.781245583,1.145,20,,logF (mm^2/mm^2),log10 transformation of F,,,,,,,
Bignoniaceae,Tabebuia chrysantha,0.002281189,44,0.124407069,-2.641838738,1.643452676,-0.905154941,1.14,,,D (g/cm^3),Wood density,,,,,,,
Fabaceae,Bocoa prouacensis,0.018385386,3,0.055156157,-1.735527257,0.477121255,-1.258406002,1.11069,10,,AbsLat (Degrees),Average of absolute value of latitude,,,,,,,
Euphorbiaceae,Gymnanthes lucida,0.000855299,50,0.04276493,-3.067882239,1.698970004,-1.368912235,1.1,,,,,,,,,,,
Fabaceae,Dipteryx odorata,0.024052819,8,0.19242255,-1.618834021,0.903089987,-0.715744034,1.09,6.405555556,,,,,,,,,,-0.494448721
Bignoniaceae,Tabebuia serratifolia,0.004964109,8.5,0.042226147,-2.304158683,0.929418926,-1.374418546,1.08,4.608333334,,,,,,,,,,
Erythroxylaceae,Erythroxylum pulchrum,0.001590431,59,0.093835446,-2.798485091,1.770852012,-1.027633079,1.071,,,,,,,,,,,
Fabaceae,Pterocarpus santalinus,0.041547563,2,0.083095126,-1.381454447,0.301029996,-1.080424451,1.06764,16.5,,,,,,,,,,
Sapotaceae,Manilkara bidentata,0.009852035,11,0.10837238,-2.006474073,1.041392685,-0.965081388,1.06,7.15,,,,,,,,,,
Fabaceae,Acacia erioloba,0.015174678,6,0.091048067,-1.818880518,0.77815125,-1.040729268,1.05903,26,,,,,,,,,,
Sapindaceae,Dodonaea viscosa,0.002457511,44.7,0.08751587,-2.609504555,1.649983544,-1.057913185,1.053864,33.075,,,,,,,,,,
Rhizophoraceae,Rhizophora mangle,0.00303329,80,0.100024147,-2.518086042,1.903089987,-0.999895141,1.05,9.25,,,,,,,,,,
Fabaceae,Zollernia paraensis,0.006939778,17,0.117976229,-2.158654411,1.230448921,-0.92820549,1.05,10,,,,,,,,,,
Olacaceae,Minquartia guianensis,0.005026548,28,0.140743351,-2.298730145,1.447158031,-0.851572113,1.04,,,,,,,,,,,
Anacardiaceae,Schinopsis quebracho-colorado,0.017671459,22,0.388772091,-1.752727601,1.342422681,-0.41030492,1.04,,,,,,,,,,,
Moraceae,Brosimum guianense,0.00867865,8.5,0.073356188,-2.061547841,0.929418926,-1.134563242,1.03,5.75,,,,,,,,,,
Fabaceae,Swartzia grandifolia,0.006361725,7,0.044532076,-2.1964251,0.84509804,-1.35132706,1.03,10,,,,,,,,,,
Fabaceae,Swartzia panacoco,0.025026189,3,0.072219456,-1.601605282,0.477121255,-1.14134579,1.03,,,,,,,,,,,
Myrtaceae,Leptospermum scoparium,0.002375829,54,0.12829479,-2.62418474,1.73239376,-0.89179098,1.026,41,,,,,,,,,,
Rhamnaceae,Ziziphus mistol,0.000380133,97,0.036872873,-3.420064757,1.986771734,-1.433293023,1.02,32,,,,,,,,,,
Moraceae,Maclura tinctoria,0.019379307,8,0.158353156,-1.712661758,0.903089987,-0.800373277,1.019,14.5,,,,,,,,,,
Zygophyllaceae,Bulnesia arborea,0.002827433,75,0.212057504,-2.548607618,1.875061263,-0.673546354,1.01,9.5,,,,,,,,,,
Fabaceae,Dalbergia nigra,0.024052819,4,0.048105638,-1.618834021,0.602059991,-1.317804026,1.004,9.5,,,,,,,,,,
Fabaceae,Hymenaea courbaril,0.024052819,3,0.072158456,-1.618834021,0.477121255,-1.141712767,1,15.86666667,,,,,,,,,,
Fabaceae,Swartzia recurva,0.012076282,5,0.060381411,-1.918066748,0.698970004,-1.219096744,1,10,,,,,,,,,,
Fabaceae,Swartzia ulei,0.017671459,2,0.035342917,-1.752727601,0.301029996,-1.451697605,1,10,,,,,,,,,,
Fabaceae,Dichrostachys cinerea,0.015393804,13,0.200119452,-1.812654047,1.113943352,-0.698710695,0.99015,10.13333333,,,,,,,,,,
Fabaceae,Lecointea amazonica,0.00664761,16,0.106361761,-2.177334464,1.204119983,-0.973214481,0.99015,11,,,,,,,,,,
Erythroxylaceae,Erythroxylum havanense,0.000855299,177,0.151387852,-3.067882239,2.247973266,-0.819908973,0.99,,,,,,,,,,,
Irvingiaceae,Irvingia malayana,0.032365473,4,0.129461892,-1.489918043,0.602059991,-0.887858051,0.99,12,,,,,,,,,,
Bignoniaceae,Tabebuia impetiginosa,0.002733971,53,0.144900463,-2.563206095,1.72427587,-0.838930226,0.99,,,,,,,,,,,
Ochnaceae,Lophira alata,0.049875925,4,0.1995037,-1.302109037,0.602059991,-0.700049046,0.981886321,3,,,,,,,,,,
Moraceae,Brosimum rubescens,0.019487692,5,0.09743846,-1.710239595,0.698970004,-1.01126959,0.98,5.5,,,,,,,,,,
Icacinaceae,Cantleya corniculata,0.015393804,8,0.123150432,-1.812654047,0.903089987,-0.90956406,0.98,1,,,,,,,,,,
Bignoniaceae,Tabebuia capitata,0.008765436,16,0.180955737,-2.057226467,1.204119983,-0.742427644,0.97,4,,,,,,,,,,
Fabaceae,Apuleia leiocarpa,0.007853982,25,0.196349541,-2.104910119,1.397940009,-0.70697011,0.967,20,,,,,,,,,,
Casuarinaceae,Casuarina equisetifolia,0.010207035,11,0.11227738,-1.991100416,1.041392685,-0.949707731,0.96,19.5,,,,,,,,,,
Sapindaceae,Litchi chinensis,0.009676891,14,0.135476471,-2.014264161,1.146128036,-0.868136125,0.96,,,,,,,,,,,
Fabaceae,Pterocarpus indicus,0.0254469,3,0.076340701,-1.594365108,0.477121255,-1.117243854,0.96,18.5,,,,,,,,,,
Euphorbiaceae,Amanoa guianensis,0.010568318,8,0.084546541,-1.97599414,0.903089987,-1.072904153,0.95,,,,,,,,,,,
Fabaceae,Acacia mellifera,0.007697687,14,0.107767624,-2.113639729,1.146128036,-0.967511694,0.9471,26,,,,,,,,,,
Fabaceae,Swartzia fistuloides,0.016512996,15,0.247694946,-1.782174114,1.176091259,-0.606082855,0.945807077,4,,,,,,,,,,
Goupiaceae,Goupia glabra,0.020862139,9,0.184568568,-1.680641171,0.954242509,-0.733842256,0.94,4.75,,,,,,,,,,
Clusiaceae,Mesua ferrea,0.017671459,5,0.088357293,-1.752727601,0.698970004,-1.053757596,0.94,20.70555556,,,,,,,,,,
Lythraceae,Pemphis acidula,0.003318307,23,0.076321067,-2.479083405,1.361727836,-1.117355569,0.94,20,,,,,,,,,,
Rosaceae,Prunus africana,0.010935884,21,0.262461217,-1.961146104,1.322219295,-0.580934862,0.93849,26,,,,,,,,,,
Moraceae,Maclura tricuspidata,0.014313882,6,0.085883289,-1.844242582,0.77815125,-1.066091331,0.93,35,,,,,,,,,,
Sapindaceae,Nephelium lappaceum,0.013069811,10,0.130698108,-1.883730698,1,-0.883730698,0.93,,,,,,,,,,,
Sapotaceae,Sideroxylon obtusifolium,0.002827433,45,0.127234502,-2.548607618,1.653212514,-0.895395104,0.93,15.3,,,,,,,,,,
Sapotaceae,Tieghemella africana,0.013273229,11,0.146005519,-1.877023414,1.041392685,-0.835630729,0.928347762,3,,,,,,,,,,
Fabaceae,Guibourtia conjugata,0.005674502,38,0.215631066,-2.246072267,1.579783597,-0.666288671,0.925575,2,,,,,,,,,,
Fabaceae,Caesalpinia echinata,0.008992024,23,0.206816542,-2.046142563,1.361727836,-0.684414727,0.92,,,,,,,,,,,
Rhamnaceae,Ziziphus jujuba,0.006361725,33,0.209936929,-2.1964251,1.51851394,-0.67791116,0.92,,,,,,,,,,,
Rhizophoraceae,Anopyxis klaineana,0.03630503,3,0.10891509,-1.440033199,0.477121255,-0.962911944,0.912902118,2,,,,,,,,,,
Oleaceae,Olea europaea,0.001739657,102.5,0.164053183,-2.759536388,2.010723865,-0.785015339,0.91266,22.79166667,,,,,,,,,,
Myrtaceae,Myrcianthes pungens,0.000452389,137,0.06197734,-3.344487635,2.136720567,-1.207767068,0.911,20,,,,,,,,,,
Boraginaceae,Cordia alliodora,0.012778166,14,0.173785575,-1.893531463,1.146128036,-0.759986274,0.91,13.32777778,,,,,,,,,,
Fabaceae,Swartzia benthamiana,0.020358306,3,0.061074917,-1.691258367,0.477121255,-1.214137112,0.91,,,,,,,,,,,
Lauraceae,Chlorocardium rodiei,0.013273229,11,0.146005519,-1.877023414,1.041392685,-0.835630729,0.90405,4.608333334,,,,,,,,,,
Moraceae,Clarisia racemosa,0.021382465,8,0.17105972,-1.66994223,0.903089987,-0.766852243,0.9,10,,,,,,,,,,
Fabaceae,Swartzia laxiflora,0.01911345,3,0.057340349,-1.718660922,0.477121255,-1.241539667,0.9,10,,,,,,,,,,
Fabaceae,Swartzia myrtifolia,0.004432525,16,0.071339286,-2.353348764,1.204119983,-1.146671242,0.9,,,,,,,,,,,
Fabaceae,Swartzia tomentifera,0.022965828,3,0.068897483,-1.638917898,0.477121255,-1.161796643,0.9,10,,,,,,,,,,
Moraceae,Streblus dimepate,0.014957123,5,0.074785613,-1.825151946,0.698970004,-1.126181941,0.894113186,,,,,,,,,,,
Fabaceae,Dalbergia retusa,0.031415927,4,0.157079633,-1.502850127,0.602059991,-0.803880123,0.89,11.71666667,,,,,,,,,,
Moraceae,Morus alba,0.02249616,18,0.212646553,-1.647891616,1.255272505,-0.672341653,0.89,12,,,,,,,,,,
Oleaceae,Olea lancea,0.003318307,63,0.209053356,-2.479083405,1.799340549,-0.679742856,0.89,20,,,,,,,,,,
Rhizophoraceae,Ceriops tagal,0.000962113,30,0.028863383,-3.01677403,1.477121255,-1.539652775,0.882525,19.28333333,,,,,,,,,,
Malvaceae,Mansonia gagei,0.001134115,63,0.071449242,-2.945342925,1.799340549,-1.146002376,0.881664,15,,,,,,,,,,
Fabaceae,Prosopis africana,0.0254469,6,0.152681403,-1.594365108,0.77815125,-0.816213858,0.880924648,13,,,,,,,,,,
Boraginaceae,Cordia elaeagnoides,0.035588354,6,0.188495559,-1.448692095,0.77815125,-0.724698877,0.88,23,,,,,,,,,,
Fabaceae,Cynometra ramiflora,0.028352874,4,0.113411495,-1.547402917,0.602059991,-0.945342925,0.88,,,,,,,,,,,
Rosaceae,Eriobotrya japonica,0.000572555,197,0.112793386,-3.24218259,2.294466226,-0.947716364,0.88,23,,,,,,,,,,
Fabaceae,Machaerium scleroxylon,0.006361725,38,0.241745555,-2.1964251,1.579783597,-0.616641503,0.88,,,,,,,,,,,
Verbenaceae,Nyctanthes arbor-tristis,0.002375829,50,0.118791472,-2.62418474,1.698970004,-0.925214735,0.88,,,,,,,,,,,
Rhamnaceae,Ziziphus thyrsiflora,0.008659015,5,0.043295074,-2.06253152,0.698970004,-1.363561516,0.88,9,,,,,,,,,,
Fabaceae,Millettia laurentii,0.055154586,2,0.110309172,-1.258418371,0.301029996,-0.957388375,0.875663381,2,,,,,,,,,,
Fabaceae,Erythrophleum ivorense,0.039760782,5,0.19880391,-1.400545082,0.698970004,-0.701575078,0.870377288,2,,,,,,,,,,
Apocynaceae,Aspidosperma quebracho-blanco,0.020106193,15,0.301592895,-1.696670153,1.176091259,-0.520578894,0.87,,,,,,,,,,,
Rhamnaceae,Ziziphus cinnamomum,0.012271846,23,0.282252465,-1.911090093,1.361727836,-0.549362257,0.87,9,,,,,,,,,,
Sapotaceae,Autranella congolensis,0.012271846,13,0.159534002,-1.911090093,1.113943352,-0.79714674,0.86900369,1,,,,,,,,,,
Sapindaceae,Amesiodendron chinense,0.006939778,8,0.055518225,-2.158654411,0.903089987,-1.255564424,0.866166,,,,,,,,,,,
Irvingiaceae,Irvingia gabonensis,0.032365473,4,0.129461892,-1.489918043,0.602059991,-0.887858051,0.86501879,3,,,,,,,,,,
Moraceae,Brosimum parinarioides,0.018869191,5,0.094345954,-1.724246722,0.698970004,-1.025276718,0.86,5,,,,,,,,,,
Rubiaceae,Calycophyllum multiflorum,0.001963495,120,0.235619449,-2.70697011,2.079181246,-0.627788864,0.86,,,,,,,,,,,
Fabaceae,Dalbergia granadillo,0.031415927,5,0.157079633,-1.502850127,0.698970004,-0.803880123,0.86,13,,,,,,,,,,
Fabaceae,Dalbergia tucurensis,0.057255526,5,0.286277631,-1.24218259,0.698970004,-0.543212586,0.86,13,,,,,,,,,,
Fabaceae,Swartzia arborescens,0.003959192,14,0.05542869,-2.402393421,1.146128036,-1.256265386,0.86,10,,,,,,,,,,
Fabaceae,Swartzia argentea,0.010751315,6,0.064507893,-1.968538395,0.77815125,-1.190387145,0.86,,,,,,,,,,,
Fabaceae,Swartzia oblanceolata,0.009160884,9,0.082447958,-2.038062608,0.954242509,-1.083820098,0.86,10,,,,,,,,,,
Erythroxylaceae,Erythroxylum ellipticum,0.001809557,129,0.233432901,-2.742427644,2.11058971,-0.631837934,0.856695,12.5,,,,,,,,,,
Myrtaceae,Eucalyptus muelleriana,0.013273229,10,0.13273229,-1.877023414,1,-0.877023414,0.856695,32,,,,,,,,,,
Oleaceae,Osmanthus fragrans,0.000572555,127,0.072714518,-3.24218259,2.103803721,-1.138378869,0.851,24,,,,,,,,,,
Apocynaceae,Aspidosperma polyneuron,0.002375829,65,0.154428914,-2.62418474,1.812913357,-0.811271383,0.85,20,,,,,,,,,,
Loganiaceae,Fagraea gracilipes,0.020358306,5,0.101791529,-1.691258367,0.698970004,-0.992288362,0.85,10.5,,,,,,,,,,
Fabaceae,Piptadenia rigida,0.014405511,17.8,0.124426704,-1.841471322,1.249198357,-0.905086403,0.85,19,,,,,,,,,,
Rosaceae,Photinia serrulata,0.000572555,203,0.116228718,-3.24218259,2.307496038,-0.934686552,0.846363,32,,,,,,,,,,
Fabaceae,Platymiscium pinnatum,0.011309734,8,0.090477868,-1.946547627,0.903089987,-1.04345764,0.84378,9.15,,,,,,,,,,
Rutaceae,Balfourodendron riedelianum,0.005554336,38,0.191008833,-2.255367867,1.579783597,-0.718946548,0.84,22,,,,,,,,,,
Lauraceae,Eusideroxylon zwageri,0.033666092,5,0.161827365,-1.472807291,0.698970004,-0.790948038,0.84,1,,,,,,,,,,
Lauraceae,Licaria campechiana,0.003318307,52,0.172551976,-2.479083405,1.716003344,-0.763080062,0.84,19,,,,,,,,,,
Lauraceae,Licaria subbullata,0.007107853,15,0.103633288,-2.148261539,1.176091259,-0.984500724,0.84,4,,,,,,,,,,
Moraceae,Streblus elongatus,0.010935884,11,0.120294724,-1.961146104,1.041392685,-0.919753419,0.84,,,,,,,,,,,
Fabaceae,Bocoa viridiflora,0.013684778,4,0.05473911,-1.863762256,0.602059991,-1.261702265,0.835,10,,,,,,,,,,
Sapotaceae,Baillonella toxisperma,0.013273229,13,0.172551976,-1.877023414,1.113943352,-0.763080062,0.833563854,1,,,,,,,,,,
Cornaceae,Alangium ridleyi,0.014526724,12,0.174320693,-1.837832302,1.079181246,-0.758651056,0.83,1.35,,,,,,,,,,
Euphorbiaceae,Amanoa oblongifolia,0.008659015,8,0.069272118,-2.06253152,0.903089987,-1.159441534,0.83,3.1,,,,,,,,,,
Fabaceae,Cynometra inaequifolia,0.028352874,4,0.113411495,-1.547402917,0.602059991,-0.945342925,0.83,8,,,,,,,,,,
Fabaceae,Dalbergia congestiflora,0.01911345,8,0.152907598,-1.718660922,0.903089987,-0.815570935,0.83,18,,,,,,,,,,
Fabaceae,Dialium platysepalum,0.041626103,4.5,0.185511046,-1.380634249,0.653212514,-0.731630225,0.83,9,,,,,,,,,,
Sapotaceae,Manilkara kauki,0.007034811,20,0.173180295,-2.152747544,1.301029996,-0.761501525,0.83,,,,,,,,,,,
Sapindaceae,Sapindus saponaria,0.039760782,5,0.19880391,-1.400545082,0.698970004,-0.701575078,0.83,12,,,,,,,,,,
Moraceae,Morus mesozygia,0.024884555,5,0.124422777,-1.604070114,0.698970004,-0.90510011,0.828804348,4,,,,,,,,,,
Fabaceae,Acacia nilotica,0.005541769,16,0.088668311,-2.256351547,1.204119983,-1.052231564,0.82656,16.63333333,,,,,,,,,,
Casuarinaceae,Casuarina glauca,0.010568318,27,0.285344578,-1.97599414,1.431363764,-0.544630376,0.82656,26,,,,,,,,,,
Caryocaraceae,Caryocar glabrum,0.017671459,4,0.070685835,-1.752727601,0.602059991,-1.150667609,0.825,,,,,,,,,,,
Moraceae,Bagassa guianensis,0.045238934,3,0.135716803,-1.344487635,0.477121255,-0.86736638,0.82,7.5,,,,,,,,,,
Fabaceae,Dalbergia stevensonii,0.038013271,5,0.190066356,-1.420064757,0.698970004,-0.721094753,0.82,16,,,,,,,,,,
Fagaceae,Quercus ilex,0.000834486,85,0.060082959,-3.07858118,1.929418926,-1.221248683,0.82,41,,,,,,,,,,
Moraceae,Streblus glaber,0.023656716,5,0.118283581,-1.626045539,0.698970004,-0.927075534,0.82,4,,,,,,,,,,
Polygalaceae,Xanthophyllum obscurum,0.047143525,7.5,0.353576436,-1.32657795,0.875061263,-0.451516687,0.82,1,,,,,,,,,,
Lauraceae,Licaria guianensis,0.009503318,13,0.123543131,-2.022124748,1.113943352,-0.908181396,0.81795,2,,,,,,,,,,
Erythroxylaceae,Erythroxylum ecarinatum,0.014102609,17,0.23974436,-1.850700522,1.230448921,-0.620251601,0.813645,17,,,,,,,,,,
Rhamnaceae,Ziziphus abyssinica,0.005026548,29,0.145769899,-2.298730145,1.462397998,-0.836332147,0.813645,10.63333333,,,,,,,,,,
Fabaceae,Pterocarpus soyauxii,0.041547563,2,0.083095126,-1.381454447,0.301029996,-1.080424451,0.811119573,3,,,,,,,,,,
Moraceae,Brosimum acutifolium,0.020106193,7,0.140743351,-1.696670153,0.84509804,-0.851572113,0.81,2,,,,,,,,,,
Boraginaceae,Cordia sonorae,0.008040121,16,0.143872377,-2.094737415,1.204119983,-0.842022581,0.81,23,,,,,,,,,,
Erythroxylaceae,Erythroxylum deciduum,0.00453646,34,0.154239633,-2.343282934,1.531478917,-0.811804017,0.81,,,,,,,,,,,
Fabaceae,Swartzia polyphylla,0.020611989,6,0.123671936,-1.68588009,0.77815125,-0.907728839,0.81,6.55,,,,,,,,,,
Fabaceae,Guibourtia ehie,0.015393804,5,0.07696902,-1.812654047,0.698970004,-1.113684043,0.806089439,3,,,,,,,,,,
Moraceae,Brosimum lactescens,0.010935884,12,0.131230608,-1.961146104,1.079181246,-0.881964858,0.804,7.5,,,,,,,,,,
Myrtaceae,Eucalyptus globulus,0.022698007,12,0.113490035,-1.644012276,1.079181246,-0.945042272,0.8039888,30.00833334,,,,,,,,,,
Cornaceae,Curtisia dentata,0.002123717,45,0.095567249,-2.672903431,1.653212514,-1.019690918,0.80073,26,,,,,,,,,,
Cornaceae,Alangium salviifolium,0.00453646,21,0.095265656,-2.343282934,1.322219295,-1.021063639,0.8,28,,,,,,,,,,
Fabaceae,Alexa grandiflora,0.027759113,2,0.055518225,-1.55659442,0.301029996,-1.255564424,0.8,9,,,,,,,,,,
Bignoniaceae,Catalpa longissima,0.005944679,8,0.04755743,-2.225871613,0.903089987,-1.322781626,0.8,35,,,,,,,,,,
